The Following Item names were already in the DB

Item Name,List Name, Item ID
Agent Smith,Villains,0
Darth Vader,Villains,1
Bane,Villains,2
The Joker,Villains,3
Voldemort,Villains,4
Kylo Ren,Villains,5
Hannibal Lector,Villains,6
T-1000,Villains,7
Freddy Kreuger,Villains,8
Magneto,Villains,9
Palpatine,Villains,10
Hans Gruber,Villains,11
Sauron,Villains,12
Scar,Villains,13
Michael Myers,Villains,14
Jason,Villains,15
Xenomorph,Villains,16
Loki,Villains,17
Predator,Villains,18
Darth Maul,Villains,19
Boba Fett,Villains,20
Jafar,Villains,21
Leatherface,Villains,22
Dr.Octopus,Villains,23
Megatron,Villains,24
Lex Luthor,Villains,25
Shere Khan,Villains,26
Gaston,Villains,27
OddJob,Villains,28
Jaws,Villains,29
Ganondorf,Villains,30
Sephiroth,Villains,31
Bowser,Villains,32
Dr Robotnik,Villains,33
Joffrey,Villains,34
Wilson Fisk,Villains,35
The Mountain,Villains,36
Gus Fring,Villains,37
Venom,Villains,38
Green Goblin,Villains,39
Dr. Doom,Villains,40
Darkseid,Villains,41
Davy Jones,Villains,42
