this file includes Items that do not currently have specified picture paths. Fill in picpath
Item Name,List Name,PicPath
Drake,Salchipapa
New York,Most Amazing cities in the World
Las Vegas,Most Ratchet Cities in the World
Notorious B.I.G,Rappers
The Chronic,Best Rap Albums from the 1990's
Ready to Die,Best Rap Albums from the 1990's
Illmatic,Best Rap Albums from the 1990's
Miami,Most Ratchet Cities in the World
Los Angeles,Most Amazing cities in the World
Ferris Buellers Day Off,Top Movies from the 80's
Bill Belicheck,Coaches
Paris,Most Amazing cities in the World
Paris,Most Ratchet Cities in the World
Reasonable Doubt,Best Rap Albums from the 1990's
Bangkok,Most Amazing cities in the World
Bangkok,Most Ratchet Cities in the World
Rome,Most Amazing cities in the World
Chipots,Fast Food,ERMAGHERD
BK Lounge,Fast Food
